SKUKey,SKUCode,FinSKUCode,ProductDescription,Commodity
1,RTBB1007,FTBB1007,Beefsteak - 15lb 22ct Beef No1,Beefsteak
2,RTBB1010,FTBB1010,Beefsteak - 15lb 32ct Beef No1,Beefsteak
3,RTBB1012,FTBB1012,Beefsteak - 15lb 35ct Beef No1,Beefsteak
4,RTBB1015,FTBB1015,Beefsteak - 15lb 39ct Beef No1,Beefsteak
5,RTBB1017,FTBB1017,Beefsteak - 15lb 42ct Beef No1,Beefsteak
6,RTBB1023,FTBB1023,Beefsteak - 15lb 25ct Beef No1,Beefsteak
7,RTOV1008,FTOV1008,11lb TOV No1,TOV
8,RTOV1132,FTOV1132,6x3lb TOV TS No1,TOV
9,RTOV1133,FTOV1133,6x2lb TOV TS No1,TOV
10,RTOV1200,FTOV1200,TOV 5lb Club Pack No1,TOV
11,RTCA1010,FTCA1010,Campari - 8x2lb Camp OTV No1,Campari
12,RTCA1012,FTCA1012,Campari - 12x1lb Camp OTV No1,Campari
13,RTCA1015,FTCA1015,Campari - 16x1lb Camp OTV No1,Campari
